yc,ys
0.712526288,1
0.898227181,1
0.425048118,1
0.527092272,1
0.833407487,1
0.397089226,1
0.248513264,1
0.555884253,1
0.445561213,1
0.825853455,1
0.705714399,1
0.510356995,1
0.633727709,1
0.574960045,1
0.622557775,1
0.352548429,1
0.367804985,1
0.41058605,1
0.442127501,1
0.418923196,1
0.591000697,1
0.678951662,1
0.493285355,1
0.470899776,1
0.759578825,1
0.25692864,1
0.474603434,1
0.851617761,1
0.682708326,1
0.332997439,1
0.453242516,1
0.684985494,1
0.452199859,1
0.647350337,1
0.428546683,1
0.433884946,1
0.516306875,1
0.510161833,1
0.40420169,1
0.279311727,1
0.477366496,1
0.755107911,1
0.51283225,1
0.30818466,1
0.96125531,1
0.451742295,1
0.641535256,1
0.386133192,1
0.547156882,1
0.589126494,1
0.467671539,1
0.67756349,1
0.478073223,1
0.842863432,1
0.44259226,1
0.487078537,1
0.888444663,1
0.679653799,1
0.43116593,1
0.507952551,1
